day;date;weekDay;open;intermediary;close;high;low;dailyAvg;retornoDiscreto;retornoContinuo;longEMA;shortEMA;longSMA;shortSMA
17;2024-08-02;Friday;6,23340;6,23088;6,24957;6,24957;6,23088;6,23795;0,68373%;0,68140%;NA;5,69321;NA;6,14649
18;2024-08-03;Saturday;6,24957;6,24957;6,24957;6,24957;6,24957;6,24957;0,00000%;0,00000%;NA;5,70483;NA;6,18142
19;2024-08-04;Sunday;6,24957;6,25641;6,25481;6,25641;6,24957;6,25360;0,08385%;0,08381%;NA;5,71259;NA;6,21744
20;2024-08-05;Monday;6,37020;6,29156;6,26955;6,37020;6,26955;6,31044;0,23566%;0,23538%;NA;5,71605;6,12876;6,24613
21;2024-08-06;Tuesday;6,18280;6,18487;6,17677;6,18487;6,17677;6,18148;-1,47985%;-1,49091%;5,63941;5,69642;6,13748;6,24005
22;2024-08-07;Wednesday;6,11797;6,14300;6,16025;6,16025;6,11797;6,14041;-0,26745%;-0,26781%;5,63921;5,67674;6,14364;6,22219
23;2024-08-08;Thursday;6,11774;6,08513;6,05705;6,11774;6,05705;6,08664;-1,67526%;-1,68945%;5,63048;5,63367;6,14186;6,18369
24;2024-08-09;Friday;6,01710;6,02116;6,01355;6,02116;6,01355;6,01727;-0,71817%;-0,72076%;5,61888;5,59201;6,13792;6,13543
25;2024-08-10;Saturday;6,01355;6,01355;6,01355;6,01355;6,01355;6,01355;0,00000%;0,00000%;5,60839;5,56424;6,13678;6,08423
26;2024-08-11;Sunday;6,00781;6,00933;6,00752;6,00933;6,00752;6,00822;-0,10027%;-0,10032%;5,59748;5,54077;6,13379;6,05038
27;2024-08-12;Monday;6,00781;6,00933;6,00752;6,00933;6,00752;6,00822;0,00000%;0,00000%;5,58761;5,52513;6,13116;6,01984
28;2024-08-13;Tuesday;6,01468;5,99176;5,99866;6,01468;5,99176;6,00170;-0,14748%;-0,14759%;5,57520;5,50252;6,12464;6,00816
29;2024-08-14;Wednesday;6,01446;6,02297;6,02148;6,02297;6,01446;6,01964;0,38042%;0,37970%;5,56524;5,49188;6,11928;6,00975
30;2024-08-15;Thursday;5,98387;6,01732;6,02482;6,02482;5,98387;6,00867;0,05547%;0,05545%;5,55772;5,49003;6,11350;6,01200
31;2024-08-16;Friday;6,00103;6,02627;6,03376;6,03376;6,00103;6,02035;0,14839%;0,14828%;5,54952;5,48387;6,10816;6,01725
32;2024-08-17;Saturday;6,03376;6,03376;6,03376;6,03376;6,03376;6,03376;0,00000%;0,00000%;5,54209;5,47976;6,10275;6,02250
33;2024-08-18;Sunday;6,03376;6,03376;6,03330;6,03376;6,03330;6,03361;-0,00762%;-0,00762%;5,53517;5,47631;6,10067;6,02942
34;2024-08-19;Monday;5,99590;5,99900;5,99330;5,99900;5,99330;5,99607;-0,66299%;-0,66519%;5,52290;5,45300;6,09660;6,02379
35;2024-08-20;Tuesday;6,03910;6,10210;6,09410;6,10210;6,03910;6,07843;1,68188%;1,66789%;5,51878;5,46187;6,09500;6,03764
36;2024-08-21;Wednesday;6,07960;6,11260;6,11080;6,11260;6,07960;6,10100;0,27404%;0,27366%;5,51544;5,46915;6,09018;6,05305
37;2024-08-22;Thursday;6,10870;6,20930;6,22260;6,22260;6,10870;6,18020;1,82955%;1,81301%;5,52274;5,51013;6,08884;6,09082
38;2024-08-23;Friday;6,17250;6,13240;6,14017;6,17250;6,13240;6,14836;-1,32469%;-1,33354%;5,51924;5,50207;6,08337;6,11219
39;2024-08-24;Saturday;6,14017;6,14017;6,14017;6,14017;6,14017;6,14017;0,00000%;0,00000%;5,51607;5,49670;6,07763;6,14157
40;2024-08-25;Sunday;6,14017;6,14017;6,13960;6,14017;6,13960;6,13998;-0,00928%;-0,00928%;5,51320;5,49311;6,07114;6,15067
41;2024-08-26;Monday;6,12090;6,12850;6,14010;6,14010;6,12090;6,12983;0,00814%;0,00814%;5,51167;5,49448;6,06930;6,15653
42;2024-08-27;Tuesday;6,13450;6,15380;6,15620;6,15620;6,13450;6,14817;0,26221%;0,26187%;5,51146;5,49945;6,06910;6,14325
43;2024-08-28;Wednesday;6,14450;6,17330;6,19120;6,19120;6,14450;6,16967;0,56853%;0,56692%;5,51640;5,52077;6,07581;6,15345
44;2024-08-29;Thursday;6,25120;6,22740;6,23150;6,25120;6,22740;6,23670;0,65092%;0,64881%;5,52712;5,55681;6,08671;6,17172
45;2024-08-30;Friday;6,26140;6,22820;6,19337;6,26140;6,19337;6,22766;-0,61189%;-0,61377%;5,53467;5,57333;6,09570;6,18247
46;2024-08-31;Saturday;6,19337;6,19337;6,19337;6,19337;6,19337;6,19337;0,00000%;0,00000%;5,54150;5,58435;6,10499;6,19313
47;2024-09-01;Sunday;6,19337;6,19337;6,20344;6,20344;6,19337;6,19673;0,16259%;0,16246%;5,54818;5,59346;6,11479;6,20258
48;2024-09-02;Monday;6,25148;6,21827;6,21554;6,25148;6,21554;6,22843;0,19505%;0,19486%;5,55469;5,60116;6,12563;6,20744
49;2024-09-03;Tuesday;6,22515;6,22806;6,24375;6,24375;6,22515;6,23232;0,45386%;0,45284%;5,56370;5,61718;6,13674;6,20989
50;2024-09-04;Wednesday;6,23828;6,24977;6,25328;6,25328;6,23828;6,24711;0,15263%;0,15252%;5,57130;5,62595;6,14817;6,22188
51;2024-09-05;Thursday;6,22342;6,1869;6,1873;6,22342;6,18690;6,19921;-1,05513%;-1,06073%;5,57107;5,60693;6,15584;6,22066
52;2024-09-06;Friday;6,16413;6,19781;6,20721;6,20721;6,16413;6,18972;0,32179%;0,32127%;5,57377;5,60442;6,16452;6,22142
